address,Town,State,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Calangute, Goa, India",Calangute," Goa, India",0,15.53,73.76,"Hamsa Villas, Candolim Beach, Goa (Casa Sea Esta)",12,1082,Entire Villa,
"Ashapura, Nasirabad , India",Ashapura," Nasirabad , India",0,26.30,74.74,Peeli Kothi Is Ideal 4 Shooting With Heritagelook,2,2405,Farm Stay,
"Mahagaon, India",Mahagaon, India,0,18.70,73.51,Cherry Flower.,16,1546,Entire Bungalow,4.53
"Kihim, Maharashtra, India",Kihim," Maharashtra, India",1,18.73,72.87,14 Room Luxury Beach Villa With Two Large Pools,16,1674,Entire Villa,
"Kalwar, Rajasthan, India",Kalwar," Rajasthan, India",0,26.99,75.58,"Bara Bungalow Kalwar, Jaipur (Entire Bungalow)",16,1082,Entire Bungalow,
India,India,,0,15.50,73.81,Eternia Villa | Exclusive Pool | Modernised | 7bhk,14,3007,Entire Villa,
"Alibaug, Maharashtra, India",Alibaug," Maharashtra, India",0,18.66,72.88,Stayvista At Casa Bella- Luxury Villa W/Sea View,16,842,Entire Villa,4.00
"Ramgarh, Uttarakhand, India",Ramgarh," Uttarakhand, India",0,29.42,79.55,Suite 2 (The Himalayan Living Whispering Oaks),3,4381,Room In Hotel,
"Janedghat, Himachal Pradesh, India",Janedghat," Himachal Pradesh, India",0,30.99,77.21,Premium Deluxe Room,3,4351,Room In Hotel,
"Bujra, Rajasthan, India",Bujra," Rajasthan, India",0,24.56,73.64,8 Rooms @Castle Oodeypore,16,962,Private Room In Castle,
"Ramgarh, Uttarakhand, India",Ramgarh," Uttarakhand, India",0,29.42,79.55,Entire Suite Villa (The Himalayan Living Whispering Oaks),6,4381,Room In Hotel,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.50,77.14,Destination Wedding Venue,16,4209,Farm Stay,
"Kolkata, West Bengal, India",Kolkata," West Bengal, India",0,22.52,88.35,The Best Place To Stay In South Kolkata,4,6013,Entire Condo,4.27
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.58,77.23,Defence Colony A Block Apartment With Elevator.,6,4209,Entire Rental Unit,4.91
"Pune, Maharashtra, India",Pune," Maharashtra, India",0,18.52,73.88,"A Cozy, Centrally Located Bed And Breakfast",2,4269,Private Room In Condo,4.80
"Kasol, Himachal Pradesh, India",Kasol," Himachal Pradesh, India",0,32.01,77.31,Balcony With Mountain View Westros Kasol,3,4470,Room In Hotel,
"Patna, Bihar, India",Patna," Bihar, India",0,25.60,85.18,Homestel Non Ac Room,3,4418,Room In Hotel,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.50,77.15,Olive Glasshouse ~ Private Party Venue,16,4209,Entire Place,
"Khoohdi, Rajasthan, India",Khoohdi," Rajasthan, India",0,26.62,70.71,Swiss Luxury Tent,4,4444,Room In Hotel,
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.50,77.15,Olive 8 Glasshouse,16,3608,Farm Stay,
"Bengaluru, Karnataka, India",Bengaluru," Karnataka, India",0,13.07,77.47,Aalaya By Happy Retreats - Weddings-Family Getaway,15,4209,Farm Stay,
"Govind Nagar, Andaman And Nicobar Islands, India",Govind Nagar," Andaman And Nicobar Islands, India",0,12.04,92.99,Gypsy Divers Dive Resort-Standard Room,3,5274,Room In Hotel,
"Assagao, Goa, India",Assagao," Goa, India",0,15.60,73.78,8 To 14 Br | Luxury | Single Key | Top Location,16,4209,Entire Villa,
"Alappuzha, Kerala, India",Alappuzha," Kerala, India",0,9.47,76.39,Spice Routes Houseboats - Cinnamon,6,698,Houseboat,
"Mumbai, Maharashtra, India",Mumbai," Maharashtra, India",1,19.16,72.78,Bougainvilla.. The Perfect Getaway In Paradise,8,601,Entire Villa,4.96
"Baga, Goa, India",Baga," Goa, India",0,15.57,73.76,Celebration: 6bhk Luxury Villa - Pool/Jaccuzi/Bar,14,661,Entire Villa,5.00
"Dona Paula, Goa, India",Dona Paula," Goa, India",0,15.45,73.80,Tropical Vibes 5bhk Luxury Beach House,14,660,Entire Villa,4.62
